image_path,product_family,source,page_url,image_url,width,height,sha256,phash,reason
storage/accepted/Parle-G/48d4399a.jpg,Parle-G,openfoodfacts,https://world.openfoodfacts.org/product/8901719134845,https://images.openfoodfacts.org/images/products/890/171/913/4845/1.jpg,2535,2735,11f504b0cad0f899102538611c3f68ea903b01df8a8af66c3b6a1473a5b2b5d7,b595d8c126277b98,accepted
storage/accepted/Parle-G/d75561f9.jpg,Parle-G,openfoodfacts,https://world.openfoodfacts.org/product/8901719134845,https://images.openfoodfacts.org/images/products/890/171/913/4845/2.jpg,3120,4160,697c1402c7521c87f25e87677081583553e0ffeaa3d34a50bb564ffc80724686,d4695ab59a6ad930,accepted
storage/accepted/Parle-G/e52f3709.jpg,Parle-G,openfoodfacts,https://world.openfoodfacts.org/product/8901719134845,https://images.openfoodfacts.org/images/products/890/171/913/4845/3.jpg,3120,4160,babca5ead9e14d5e9858e0a1e8e9bfe2b1822b74bb84edba90b6f81b0f35853d,9fb64475688b342d,accepted
storage/accepted/Parle-G/a0e789ea.jpg,Parle-G,openfoodfacts,https://world.openfoodfacts.org/product/8901719134845,https://images.openfoodfacts.org/images/products/890/171/913/4845/4.jpg,3120,4160,47516e03f1c5376f46145fbb17bd5144f0b4799b0fff0e43674527fb57d63248,f455896ef2c3a4c1,accepted
,Parle-G,openfoodfacts,https://world.openfoodfacts.org/product/8901719134845,https://images.openfoodfacts.org/images/products/890/171/913/4845/front_en.jpg,,,,,HTTP 403
,Parle-G,openfoodfacts,https://world.openfoodfacts.org/product/8901719134845,https://images.openfoodfacts.org/images/products/890/171/913/4845/packaging_en.jpg,,,,,HTTP 403
storage/accepted/Parle-G/f3ba4ddc.jpg,Parle-G,openfoodfacts,https://world.openfoodfacts.org/product/8901719123870,https://images.openfoodfacts.org/images/products/890/171/912/3870/1.jpg,4000,2156,5876d3107a936511d9a62fe24d40ed4613bdf73c1196dc4c882410448b452be1,96363b9bb49901b3,accepted
storage/accepted/Parle-G/f43613fc.jpg,Parle-G,openfoodfacts,https://world.openfoodfacts.org/product/8901719123870,https://images.openfoodfacts.org/images/products/890/171/912/3870/2.jpg,2874,1834,12e2bcb57177588cab61b387f1ace83534249e93722fa809b0b2791520ff5edc,f63019c189cfc64f,accepted
,Parle-G,openfoodfacts,https://world.openfoodfacts.org/product/8901719123870,https://images.openfoodfacts.org/images/products/890/171/912/3870/front_en.jpg,,,,,HTTP 403
storage/accepted/Parle-G/44dbd5ab.jpg,Parle-G,openfoodfacts,https://world.openfoodfacts.org/product/8901719135767,https://images.openfoodfacts.org/images/products/890/171/913/5767/1.jpg,3072,4096,e89901e2ae698262be347ed09d78c917c092bf6fa69c766c82d8cf41a95d978b,d54a2ab5fc6a91a4,accepted
